TENANT_NAME,ZONE_NAME,VRF_NAME,NEXT_HOP_TYPE,POD_ID,ODD_NODE_ID,ODD_NODE_IP,EVEN_NODE_ID,EVEN_NODE_IP,SHARED_IP,NETWORK_CIDR,ENDPOINT_NAME,ENDPOINT_INTERFACE_TYPE,VLAN_ID,AS_NUMBER,PEER_GROUP,PEER_NAME,PEER_IP,PEER_ADDRESS_TYPE,PEER_CONTROLS,BGP_CONTROLS,ADMIN_STATE,ALLOWED_LOCAL_AS_COUNT,LOCAL_ASN,LOCAL_ASN_PROP,PRIVATE_AS_ACTION,TTL,WEIGHT
SS,OUT,DEFAULT_VRF,CORE,1,1101,30.0.4.17,1102,30.0.4.18,30.0.4.19,28,DC1LANCORE,VPC1101,1101,65000,LAN_CORE_FW,vaash-dc-core-fw-a,30.0.4.28,af-ucast,dis-conn-check,nh-self,enabled,null,null,null,null,1,0
SS,OUT,DEFAULT_VRF,CORE,1,1101,30.0.4.17,1102,30.0.4.18,30.0.4.19,28,DC1LANCORE,VPC1101,1101,65000,LAN_CORE_FW,vaash-dc-core-fw-b,30.0.4.29,af-ucast,dis-conn-check,nh-self,enabled,null,null,null,null,1,0
